NAME,EMP,ESTAB,PAYANN,NAICS2017,state,county
"Granville County, North Carolina",17002,917,719034,00,37,077
"Granville County, North Carolina",23,5,1174,11,37,077
"Granville County, North Carolina",4,3,208,115,37,077
"Granville County, North Carolina",13,3,1110,22,37,077
"Granville County, North Carolina",13,3,1110,221,37,077
"Granville County, North Carolina",13,3,1110,2211,37,077
"Granville County, North Carolina",893,140,49182,23,37,077
"Granville County, North Carolina",69,27,5342,236,37,077
"Granville County, North Carolina",66,24,5035,2361,37,077
"Granville County, North Carolina",66,24,5035,23611,37,077
"Granville County, North Carolina",30,12,1552,236115,37,077
"Granville County, North Carolina",33,10,3350,236118,37,077
"Granville County, North Carolina",3,3,307,2362,37,077
"Granville County, North Carolina",3,3,307,23622,37,077
"Granville County, North Carolina",270,4,20248,23711,37,077
"Granville County, North Carolina",3,3,307,236220,37,077
"Granville County, North Carolina",307,11,21930,237,37,077
"Granville County, North Carolina",287,7,20965,2371,37,077
"Granville County, North Carolina",270,4,20248,237110,37,077
"Granville County, North Carolina",19,3,792,2373,37,077
"Granville County, North Carolina",19,3,792,23731,37,077
"Granville County, North Carolina",19,3,792,237310,37,077
"Granville County, North Carolina",517,102,21910,238,37,077
"Granville County, North Carolina",94,24,3607,2381,37,077
"Granville County, North Carolina",16,3,671,23811,37,077
"Granville County, North Carolina",16,3,671,238110,37,077
"Granville County, North Carolina",23,7,691,238140,37,077
"Granville County, North Carolina",14,4,498,23813,37,077
"Granville County, North Carolina",14,4,498,238130,37,077
"Granville County, North Carolina",23,7,691,23814,37,077
"Granville County, North Carolina",24,4,963,23816,37,077
"Granville County, North Carolina",268,46,11845,2382,37,077
"Granville County, North Carolina",24,4,963,238160,37,077
"Granville County, North Carolina",3,3,135,23817,37,077
"Granville County, North Carolina",3,3,135,238170,37,077
"Granville County, North Carolina",76,17,3877,23821,37,077
"Granville County, North Carolina",76,17,3877,238210,37,077
"Granville County, North Carolina",192,29,7968,23822,37,077
"Granville County, North Carolina",192,29,7968,238220,37,077
"Granville County, North Carolina",48,13,1110,2383,37,077
"Granville County, North Carolina",9,5,362,23832,37,077
"Granville County, North Carolina",107,19,5348,2389,37,077
"Granville County, North Carolina",9,5,362,238320,37,077
"Granville County, North Carolina",9,3,191,23835,37,077
"Granville County, North Carolina",9,3,191,238350,37,077
"Granville County, North Carolina",57,5,2591,238990,37,077
"Granville County, North Carolina",50,14,2757,23891,37,077
"Granville County, North Carolina",50,14,2757,238910,37,077
"Granville County, North Carolina",57,5,2591,23899,37,077
"Granville County, North Carolina",4502,44,240607,31-33,37,077
"Granville County, North Carolina",46,3,1181,311,37,077
"Granville County, North Carolina",121,3,5657,313,37,077
"Granville County, North Carolina",422,4,19259,321,37,077
"Granville County, North Carolina",390,3,17353,3219,37,077
"Granville County, North Carolina",290,3,19022,326,37,077
"Granville County, North Carolina",156,7,7615,332,37,077
"Granville County, North Carolina",141,3,7125,3323,37,077
"Granville County, North Carolina",898,3,56217,333,37,077
"Granville County, North Carolina",12,3,322,3327,37,077
"Granville County, North Carolina",12,3,322,33271,37,077
"Granville County, North Carolina",12,3,322,332710,37,077
"Granville County, North Carolina",19,4,843,337,37,077
"Granville County, North Carolina",10,3,291,3371,37,077
"Granville County, North Carolina",298,3,19234,339,37,077
"Granville County, North Carolina",540,32,36840,42,37,077
"Granville County, North Carolina",508,24,35157,423,37,077
"Granville County, North Carolina",147,5,8330,4231,37,077
"Granville County, North Carolina",146,4,8227,42312,37,077
"Granville County, North Carolina",146,4,8227,423120,37,077
"Granville County, North Carolina",92,4,3015,4236,37,077
"Granville County, North Carolina",87,3,2724,42361,37,077
"Granville County, North Carolina",14,4,662,423830,37,077
"Granville County, North Carolina",87,3,2724,423610,37,077
"Granville County, North Carolina",113,7,8627,4238,37,077
"Granville County, North Carolina",14,4,662,42383,37,077
"Granville County, North Carolina",26,6,1053,424,37,077
"Granville County, North Carolina",8,3,246,4249,37,077
"Granville County, North Carolina",99,4,5037,44111,37,077
"Granville County, North Carolina",1532,143,42130,44-45,37,077
"Granville County, North Carolina",241,22,10233,441,37,077
"Granville County, North Carolina",124,7,6246,4411,37,077
"Granville County, North Carolina",99,4,5037,441110,37,077
"Granville County, North Carolina",25,3,1209,44112,37,077
"Granville County, North Carolina",25,3,1209,441120,37,077
"Granville County, North Carolina",108,14,3604,4413,37,077
"Granville County, North Carolina",67,9,1774,44131,37,077
"Granville County, North Carolina",67,9,1774,441310,37,077
"Granville County, North Carolina",41,5,1830,44132,37,077
"Granville County, North Carolina",41,5,1830,441320,37,077
"Granville County, North Carolina",75,11,2413,444,37,077
"Granville County, North Carolina",32,4,1018,4442,37,077
"Granville County, North Carolina",43,7,1395,4441,37,077
"Granville County, North Carolina",28,4,828,44413,37,077
"Granville County, North Carolina",28,4,828,444130,37,077
"Granville County, North Carolina",15,3,567,44419,37,077
"Granville County, North Carolina",15,3,567,444190,37,077
"Granville County, North Carolina",25,3,852,44422,37,077
"Granville County, North Carolina",25,3,852,444220,37,077
"Granville County, North Carolina",411,18,5946,445,37,077
"Granville County, North Carolina",394,16,5645,4451,37,077
"Granville County, North Carolina",375,6,5254,44511,37,077
