Partner,Flow,Start Year,State,Unit,Product,Trade Value
World,Exports,True,New York,Millions of USD,0--All Merchandise,"$91,243 "
Canada,Exports,True,New York,Millions of USD,0--All Merchandise,"$17,435 "
Switzerland,Exports,True,New York,Millions of USD,0--All Merchandise,"$10,090 "
Hong Kong,Exports,True,New York,Millions of USD,0--All Merchandise,"$8,068 "
United Kingdom,Exports,True,New York,Millions of USD,0--All Merchandise,"$5,448 "
Israel,Exports,True,New York,Millions of USD,0--All Merchandise,"$5,199 "
Mexico,Exports,True,New York,Millions of USD,0--All Merchandise,"$3,747 "
Germany,Exports,True,New York,Millions of USD,0--All Merchandise,"$3,710 "
India,Exports,True,New York,Millions of USD,0--All Merchandise,"$3,670 "
Singapore,Exports,True,New York,Millions of USD,0--All Merchandise,"$3,281 "
China,Exports,True,New York,Millions of USD,0--All Merchandise,"$2,967 "
France,Exports,True,New York,Millions of USD,0--All Merchandise,"$2,860 "
United Arab Emirates,Exports,True,New York,Millions of USD,0--All Merchandise,"$2,550 "
Belgium,Exports,True,New York,Millions of USD,0--All Merchandise,"$2,335 "
Taiwan,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,771 "
Japan,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,706 "
Netherlands,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,433 "
South Korea,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,419 "
Australia,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,112 "
Italy,Exports,True,New York,Millions of USD,0--All Merchandise,"$1,101 "
Turkey,Exports,True,New York,Millions of USD,0--All Merchandise,$820 
Malaysia,Exports,True,New York,Millions of USD,0--All Merchandise,$815 
Thailand,Exports,True,New York,Millions of USD,0--All Merchandise,$812 
Dominican Republic,Exports,True,New York,Millions of USD,0--All Merchandise,$537 
Saudi Arabia,Exports,True,New York,Millions of USD,0--All Merchandise,$516 
Brazil,Exports,True,New York,Millions of USD,0--All Merchandise,$503 
Qatar,Exports,True,New York,Millions of USD,0--All Merchandise,$381 
Ireland,Exports,True,New York,Millions of USD,0--All Merchandise,$339 
Spain,Exports,True,New York,Millions of USD,0--All Merchandise,$305 
Poland,Exports,True,New York,Millions of USD,0--All Merchandise,$296 
Chile,Exports,True,New York,Millions of USD,0--All Merchandise,$232 
Austria,Exports,True,New York,Millions of USD,0--All Merchandise,$205 
Oman,Exports,True,New York,Millions of USD,0--All Merchandise,$197 
Luxembourg,Exports,True,New York,Millions of USD,0--All Merchandise,$189 
Colombia,Exports,True,New York,Millions of USD,0--All Merchandise,$189 
Vietnam,Exports,True,New York,Millions of USD,0--All Merchandise,$181 
Sint Maarten,Exports,True,New York,Millions of USD,0--All Merchandise,$178 
Philippines,Exports,True,New York,Millions of USD,0--All Merchandise,$171 
Indonesia,Exports,True,New York,Millions of USD,0--All Merchandise,$165 
Costa Rica,Exports,True,New York,Millions of USD,0--All Merchandise,$153 
Sweden,Exports,True,New York,Millions of USD,0--All Merchandise,$140 
Monaco,Exports,True,New York,Millions of USD,0--All Merchandise,$139 
Lithuania,Exports,True,New York,Millions of USD,0--All Merchandise,$138 
Romania,Exports,True,New York,Millions of USD,0--All Merchandise,$138 
Czech Republic,Exports,True,New York,Millions of USD,0--All Merchandise,$127 
"Macau, SAR of China",Exports,True,New York,Millions of USD,0--All Merchandise,$117 
South Africa,Exports,True,New York,Millions of USD,0--All Merchandise,$115 
Iraq,Exports,True,New York,Millions of USD,0--All Merchandise,$115 
Guatemala,Exports,True,New York,Millions of USD,0--All Merchandise,$112 
Peru,Exports,True,New York,Millions of USD,0--All Merchandise,$109 
Portugal,Exports,True,New York,Millions of USD,0--All Merchandise,$108 
Kuwait,Exports,True,New York,Millions of USD,0--All Merchandise,$106 
Georgia,Exports,True,New York,Millions of USD,0--All Merchandise,$106 
Panama,Exports,True,New York,Millions of USD,0--All Merchandise,$99 
New Zealand,Exports,True,New York,Millions of USD,0--All Merchandise,$90 
Pakistan,Exports,True,New York,Millions of USD,0--All Merchandise,$88 
Denmark,Exports,True,New York,Millions of USD,0--All Merchandise,$85 
Paraguay,Exports,True,New York,Millions of USD,0--All Merchandise,$84 
Croatia,Exports,True,New York,Millions of USD,0--All Merchandise,$81 
Argentina,Exports,True,New York,Millions of USD,0--All Merchandise,$81 
Jordan,Exports,True,New York,Millions of USD,0--All Merchandise,$80 
Nigeria,Exports,True,New York,Millions of USD,0--All Merchandise,$78 
Egypt,Exports,True,New York,Millions of USD,0--All Merchandise,$70 
Norway,Exports,True,New York,Millions of USD,0--All Merchandise,$69 
Ghana,Exports,True,New York,Millions of USD,0--All Merchandise,$68 
Ukraine,Exports,True,New York,Millions of USD,0--All Merchandise,$58 
Bahrain,Exports,True,New York,Millions of USD,0--All Merchandise,$55 
Bahamas,Exports,True,New York,Millions of USD,0--All Merchandise,$54 
Finland,Exports,True,New York,Millions of USD,0--All Merchandise,$50 
Russia,Exports,True,New York,Millions of USD,0--All Merchandise,$48 
Greece,Exports,True,New York,Millions of USD,0--All Merchandise,$47 
Slovenia,Exports,True,New York,Millions of USD,0--All Merchandise,$45 
Morocco,Exports,True,New York,Millions of USD,0--All Merchandise,$45 
Kyrgyzstan,Exports,True,New York,Millions of USD,0--All Merchandise,$45 
Botswana,Exports,True,New York,Millions of USD,0--All Merchandise,$39 
Hungary,Exports,True,New York,Millions of USD,0--All Merchandise,$39 
El Salvador,Exports,True,New York,Millions of USD,0--All Merchandise,$38 
Senegal,Exports,True,New York,Millions of USD,0--All Merchandise,$37 
Jamaica,Exports,True,New York,Millions of USD,0--All Merchandise,$37 
Bermuda,Exports,True,New York,Millions of USD,0--All Merchandise,$36 
Honduras,Exports,True,New York,Millions of USD,0--All Merchandise,$35 
Aruba,Exports,True,New York,Millions of USD,0--All Merchandise,$33 
Lebanon,Exports,True,New York,Millions of USD,0--All Merchandise,$33 
Estonia,Exports,True,New York,Millions of USD,0--All Merchandise,$31 
Guyana,Exports,True,New York,Millions of USD,0--All Merchandise,$31 
Cayman Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$29 
Ecuador,Exports,True,New York,Millions of USD,0--All Merchandise,$29 
Latvia,Exports,True,New York,Millions of USD,0--All Merchandise,$28 
Malta,Exports,True,New York,Millions of USD,0--All Merchandise,$28 
Uruguay,Exports,True,New York,Millions of USD,0--All Merchandise,$27 
Kazakhstan,Exports,True,New York,Millions of USD,0--All Merchandise,$27 
Libya,Exports,True,New York,Millions of USD,0--All Merchandise,$26 
Bangladesh,Exports,True,New York,Millions of USD,0--All Merchandise,$25 
Nicaragua,Exports,True,New York,Millions of USD,0--All Merchandise,$23 
Trinidad and Tobago,Exports,True,New York,Millions of USD,0--All Merchandise,$23 
Albania,Exports,True,New York,Millions of USD,0--All Merchandise,$22 
Uzbekistan,Exports,True,New York,Millions of USD,0--All Merchandise,$21 
"Tanzania, United Republic of",Exports,True,New York,Millions of USD,0--All Merchandise,$21 
Bulgaria,Exports,True,New York,Millions of USD,0--All Merchandise,$20 
Haiti,Exports,True,New York,Millions of USD,0--All Merchandise,$18 
Venezuela,Exports,True,New York,Millions of USD,0--All Merchandise,$18 
Macedonia,Exports,True,New York,Millions of USD,0--All Merchandise,$15 
Sri Lanka,Exports,True,New York,Millions of USD,0--All Merchandise,$13 
Cambodia,Exports,True,New York,Millions of USD,0--All Merchandise,$13 
Guinea,Exports,True,New York,Millions of USD,0--All Merchandise,$12 
"Moldova, Republic of",Exports,True,New York,Millions of USD,0--All Merchandise,$12 
Togo,Exports,True,New York,Millions of USD,0--All Merchandise,$12 
Turks and Caicos Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$11 
Barbados,Exports,True,New York,Millions of USD,0--All Merchandise,$11 
Antigua and Barbuda,Exports,True,New York,Millions of USD,0--All Merchandise,$10 
Armenia,Exports,True,New York,Millions of USD,0--All Merchandise,$10 
Iceland,Exports,True,New York,Millions of USD,0--All Merchandise,$10 
Algeria,Exports,True,New York,Millions of USD,0--All Merchandise,$10 
Slovakia,Exports,True,New York,Millions of USD,0--All Merchandise,$9 
Cuba,Exports,True,New York,Millions of USD,0--All Merchandise,$9 
Côte d'Ivoire,Exports,True,New York,Millions of USD,0--All Merchandise,$9 
Tunisia,Exports,True,New York,Millions of USD,0--All Merchandise,$9 
Saint Kitts and Nevis,Exports,True,New York,Millions of USD,0--All Merchandise,$8 
Curacao,Exports,True,New York,Millions of USD,0--All Merchandise,$8 
Gambia,Exports,True,New York,Millions of USD,0--All Merchandise,$8 
Kenya,Exports,True,New York,Millions of USD,0--All Merchandise,$8 
Iran,Exports,True,New York,Millions of USD,0--All Merchandise,$7 
Cyprus,Exports,True,New York,Millions of USD,0--All Merchandise,$7 
Mongolia,Exports,True,New York,Millions of USD,0--All Merchandise,$7 
Benin,Exports,True,New York,Millions of USD,0--All Merchandise,$7 
Rwanda,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
British Virgin Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Bolivia,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Saint Lucia,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Grenada,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Congo,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Kosovo,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Gabon,Exports,True,New York,Millions of USD,0--All Merchandise,$6 
Uganda,Exports,True,New York,Millions of USD,0--All Merchandise,$5 
Ethiopia,Exports,True,New York,Millions of USD,0--All Merchandise,$5 
Sierra Leone,Exports,True,New York,Millions of USD,0--All Merchandise,$5 
Burma (Myanmar),Exports,True,New York,Millions of USD,0--All Merchandise,$5 
Mauritania,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Montenegro,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Namibia,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Azerbaijan,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Burkina Faso,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Liberia,Exports,True,New York,Millions of USD,0--All Merchandise,$4 
Madagascar,Exports,True,New York,Millions of USD,0--All Merchandise,$3 
Cameroon,Exports,True,New York,Millions of USD,0--All Merchandise,$3 
Brunei,Exports,True,New York,Millions of USD,0--All Merchandise,$3 
Suriname,Exports,True,New York,Millions of USD,0--All Merchandise,$3 
Laos,Exports,True,New York,Millions of USD,0--All Merchandise,$3 
Nepal,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Mali,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Tajikistan,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Liechtenstein,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Serbia,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Malawi,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Chad,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Saint Vincent and the Grenadines,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Afghanistan,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Mauritius,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Maldives,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Belize,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Guadeloupe,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Yemen,Exports,True,New York,Millions of USD,0--All Merchandise,$2 
Eswatini,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Andorra,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Democratic Republic of Congo,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Cape Verde,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Dominica,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Angola,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Seychelles,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Anguilla,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Zambia,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Christmas Island,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
French Polynesia,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Somalia,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Sudan,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Bhutan,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Falkland Islands (Malvinas),Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Papua New Guinea,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Gibraltar,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Vatican City,Exports,True,New York,Millions of USD,0--All Merchandise,$1 
Turkmenistan,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Bosnia and Herzegovina,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Djibouti,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Equatorial Guinea,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Central African Republic,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Mozambique,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Belarus,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Niger,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
French Guiana,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Martinique,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Montserrat,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Guinea Bissau,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Fiji,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Micronesia (Federated States of),Exports,True,New York,Millions of USD,0--All Merchandise,$0 
East Timor,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Zimbabwe,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
British Indian Ocean Territory,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
New Caledonia,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Greenland,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Burundi,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Marshall Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Syrian Arab Republic,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Samoa,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
French Southern Territories,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Tuvalu,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Pitcairn Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Cook Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Vanuatu,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
South Sudan,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Reunion,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
West Bank,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Palau,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Faroe Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Solomon Islands,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
San Marino,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Mayotte,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
Niue,Exports,True,New York,Millions of USD,0--All Merchandise,$0 
