Country,Flow,Unit,Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,Exports,Millions of USD,0--All Merchandise,"$1,621,874 ","$1,503,328 ","$1,451,460 ","$1,547,195 ","$1,665,787 ","$1,645,940 ","$1,429,995 ","$1,757,744 ","$2,066,454 ","$2,018,059 ","$2,064,517 "
Canada,Exports,Millions of USD,0--All Merchandise,"$312,817 ","$280,855 ","$266,734 ","$282,774 ","$299,732 ","$292,820 ","$256,212 ","$309,604 ","$359,237 ","$354,356 ","$348,503 "
Mexico,Exports,Millions of USD,0--All Merchandise,"$241,007 ","$236,460 ","$230,229 ","$243,609 ","$265,968 ","$256,676 ","$212,513 ","$277,195 ","$324,207 ","$322,742 ","$334,041 "
China,Exports,Millions of USD,0--All Merchandise,"$123,657 ","$115,873 ","$115,595 ","$129,997 ","$120,281 ","$106,481 ","$124,582 ","$151,439 ","$154,125 ","$147,778 ","$143,546 "
Netherlands,Exports,Millions of USD,0--All Merchandise,"$43,141 ","$40,212 ","$39,645 ","$41,500 ","$48,563 ","$50,681 ","$44,824 ","$53,129 ","$72,724 ","$81,310 ","$89,649 "
United Kingdom,Exports,Millions of USD,0--All Merchandise,"$53,913 ","$56,095 ","$55,197 ","$56,262 ","$66,504 ","$69,080 ","$58,533 ","$61,667 ","$76,248 ","$74,315 ","$79,941 "
Japan,Exports,Millions of USD,0--All Merchandise,"$66,892 ","$62,388 ","$63,247 ","$67,603 ","$75,164 ","$74,480 ","$64,030 ","$74,730 ","$80,222 ","$75,683 ","$79,741 "
Germany,Exports,Millions of USD,0--All Merchandise,"$49,419 ","$49,979 ","$49,569 ","$53,965 ","$57,758 ","$60,404 ","$58,002 ","$65,363 ","$72,871 ","$76,698 ","$75,613 "
South Korea,Exports,Millions of USD,0--All Merchandise,"$44,650 ","$43,484 ","$42,262 ","$48,356 ","$56,318 ","$56,504 ","$50,978 ","$65,807 ","$72,089 ","$65,056 ","$65,542 "
Brazil,Exports,Millions of USD,0--All Merchandise,"$42,432 ","$31,641 ","$30,193 ","$37,331 ","$39,400 ","$42,863 ","$34,592 ","$46,987 ","$54,245 ","$44,639 ","$49,667 "
Singapore,Exports,Millions of USD,0--All Merchandise,"$30,068 ","$28,481 ","$26,816 ","$29,649 ","$32,891 ","$31,195 ","$26,924 ","$35,387 ","$45,620 ","$42,447 ","$46,033 "
France,Exports,Millions of USD,0--All Merchandise,"$31,289 ","$30,026 ","$31,148 ","$33,595 ","$36,606 ","$37,677 ","$27,312 ","$29,904 ","$45,878 ","$43,878 ","$43,520 "
Taiwan,Exports,Millions of USD,0--All Merchandise,"$26,675 ","$25,826 ","$26,034 ","$25,736 ","$30,478 ","$31,202 ","$30,214 ","$36,844 ","$43,960 ","$39,957 ","$42,337 "
India,Exports,Millions of USD,0--All Merchandise,"$21,499 ","$21,453 ","$21,647 ","$25,648 ","$33,177 ","$34,223 ","$27,082 ","$39,817 ","$46,948 ","$40,375 ","$41,753 "
Australia,Exports,Millions of USD,0--All Merchandise,"$26,682 ","$25,032 ","$22,145 ","$24,519 ","$25,332 ","$25,875 ","$23,375 ","$26,458 ","$30,517 ","$33,568 ","$34,593 "
Belgium,Exports,Millions of USD,0--All Merchandise,"$34,736 ","$34,174 ","$32,100 ","$29,923 ","$31,410 ","$34,725 ","$27,578 ","$33,710 ","$35,773 ","$38,818 ","$34,178 "
Italy,Exports,Millions of USD,0--All Merchandise,"$16,969 ","$16,212 ","$16,723 ","$18,392 ","$22,853 ","$23,678 ","$19,949 ","$21,682 ","$27,491 ","$28,860 ","$32,402 "
Hong Kong,Exports,Millions of USD,0--All Merchandise,"$40,913 ","$37,183 ","$34,895 ","$39,855 ","$37,318 ","$30,805 ","$23,826 ","$29,899 ","$25,832 ","$27,792 ","$27,886 "
Malaysia,Exports,Millions of USD,0--All Merchandise,"$13,069 ","$12,278 ","$11,774 ","$12,872 ","$12,953 ","$13,194 ","$12,296 ","$15,095 ","$18,224 ","$19,358 ","$27,705 "
United Arab Emirates,Exports,Millions of USD,0--All Merchandise,"$22,115 ","$23,001 ","$22,384 ","$20,079 ","$19,497 ","$19,974 ","$14,744 ","$17,051 ","$20,836 ","$24,849 ","$26,969 "
Switzerland,Exports,Millions of USD,0--All Merchandise,"$22,204 ","$22,154 ","$22,797 ","$21,696 ","$22,172 ","$17,960 ","$18,064 ","$23,635 ","$36,720 ","$27,780 ","$24,962 "
Spain,Exports,Millions of USD,0--All Merchandise,"$10,200 ","$10,310 ","$10,401 ","$11,071 ","$13,064 ","$15,343 ","$13,060 ","$16,835 ","$26,778 ","$25,161 ","$23,910 "
Colombia,Exports,Millions of USD,0--All Merchandise,"$20,067 ","$16,302 ","$13,047 ","$13,374 ","$15,115 ","$14,762 ","$11,932 ","$16,766 ","$20,917 ","$17,680 ","$19,038 "
Chile,Exports,Millions of USD,0--All Merchandise,"$16,541 ","$15,449 ","$12,937 ","$13,633 ","$15,313 ","$15,718 ","$12,462 ","$17,319 ","$22,332 ","$18,774 ","$18,168 "
Thailand,Exports,Millions of USD,0--All Merchandise,"$11,815 ","$11,229 ","$10,501 ","$11,033 ","$12,525 ","$13,281 ","$11,266 ","$12,647 ","$15,733 ","$15,557 ","$17,719 "
Ireland,Exports,Millions of USD,0--All Merchandise,"$7,808 ","$8,931 ","$9,565 ","$10,708 ","$10,749 ","$9,797 ","$10,668 ","$13,734 ","$15,947 ","$16,781 ","$16,538 "
Turkey,Exports,Millions of USD,0--All Merchandise,"$11,650 ","$9,520 ","$9,354 ","$9,772 ","$10,213 ","$10,032 ","$9,988 ","$11,927 ","$15,172 ","$14,580 ","$15,293 "
Israel,Exports,Millions of USD,0--All Merchandise,"$15,073 ","$13,539 ","$13,199 ","$12,548 ","$13,709 ","$16,338 ","$11,224 ","$12,867 ","$14,184 ","$13,978 ","$14,792 "
Saudi Arabia,Exports,Millions of USD,0--All Merchandise,"$18,717 ","$19,792 ","$17,994 ","$16,355 ","$13,599 ","$14,483 ","$11,131 ","$11,132 ","$11,393 ","$13,847 ","$13,177 "
Vietnam,Exports,Millions of USD,0--All Merchandise,"$5,732 ","$7,101 ","$10,098 ","$8,134 ","$9,676 ","$10,822 ","$9,915 ","$11,020 ","$11,344 ","$9,843 ","$13,098 "
Dominican Republic,Exports,Millions of USD,0--All Merchandise,"$7,928 ","$7,115 ","$7,751 ","$7,852 ","$8,943 ","$9,208 ","$7,501 ","$10,740 ","$13,960 ","$13,009 ","$13,082 "
Poland,Exports,Millions of USD,0--All Merchandise,"$3,661 ","$3,715 ","$3,644 ","$4,523 ","$5,358 ","$5,965 ","$5,047 ","$5,856 ","$11,468 ","$10,993 ","$11,985 "
Peru,Exports,Millions of USD,0--All Merchandise,"$10,055 ","$8,724 ","$7,927 ","$8,675 ","$9,677 ","$9,658 ","$7,587 ","$10,449 ","$13,831 ","$11,861 ","$11,224 "
Panama,Exports,Millions of USD,0--All Merchandise,"$10,140 ","$7,669 ","$6,069 ","$6,290 ","$6,732 ","$7,538 ","$5,655 ","$8,040 ","$11,853 ","$11,067 ","$10,702 "
Indonesia,Exports,Millions of USD,0--All Merchandise,"$8,281 ","$7,118 ","$6,024 ","$6,864 ","$8,171 ","$7,731 ","$7,383 ","$9,381 ","$9,836 ","$9,838 ","$10,202 "
Guatemala,Exports,Millions of USD,0--All Merchandise,"$6,046 ","$5,821 ","$5,835 ","$6,864 ","$6,639 ","$6,803 ","$5,844 ","$8,093 ","$10,135 ","$9,725 ","$9,715 "
Costa Rica,Exports,Millions of USD,0--All Merchandise,"$6,947 ","$6,045 ","$5,865 ","$6,146 ","$6,470 ","$6,220 ","$5,671 ","$7,354 ","$8,898 ","$8,982 ","$9,677 "
Philippines,Exports,Millions of USD,0--All Merchandise,"$8,453 ","$7,903 ","$8,194 ","$8,451 ","$8,716 ","$8,641 ","$7,723 ","$9,287 ","$9,259 ","$9,259 ","$9,297 "
Argentina,Exports,Millions of USD,0--All Merchandise,"$10,823 ","$9,362 ","$8,527 ","$9,604 ","$9,908 ","$8,122 ","$5,952 ","$7,781 ","$12,816 ","$11,396 ","$9,171 "
Sweden,Exports,Millions of USD,0--All Merchandise,"$4,337 ","$3,939 ","$3,805 ","$3,735 ","$4,471 ","$4,368 ","$4,772 ","$5,273 ","$7,778 ","$8,635 ","$8,187 "
Ecuador,Exports,Millions of USD,0--All Merchandise,"$8,254 ","$5,818 ","$4,164 ","$4,832 ","$5,903 ","$5,574 ","$4,134 ","$4,960 ","$7,850 ","$7,977 ","$7,532 "
Honduras,Exports,Millions of USD,0--All Merchandise,"$5,961 ","$5,216 ","$4,828 ","$5,068 ","$5,594 ","$5,420 ","$4,193 ","$6,386 ","$7,827 ","$6,782 ","$7,057 "
Egypt,Exports,Millions of USD,0--All Merchandise,"$6,483 ","$4,759 ","$3,486 ","$3,990 ","$5,053 ","$5,498 ","$4,705 ","$5,852 ","$6,316 ","$4,480 ","$6,092 "
South Africa,Exports,Millions of USD,0--All Merchandise,"$6,375 ","$5,457 ","$4,600 ","$5,051 ","$5,531 ","$5,367 ","$4,375 ","$5,473 ","$6,497 ","$7,125 ","$5,819 "
Denmark,Exports,Millions of USD,0--All Merchandise,"$2,361 ","$2,203 ","$2,238 ","$2,211 ","$2,608 ","$3,195 ","$2,942 ","$3,540 ","$4,596 ","$5,222 ","$5,808 "
Bahamas,Exports,Millions of USD,0--All Merchandise,"$3,321 ","$2,387 ","$2,097 ","$3,064 ","$3,024 ","$3,358 ","$2,805 ","$2,900 ","$5,472 ","$5,464 ","$5,640 "
Morocco,Exports,Millions of USD,0--All Merchandise,"$2,102 ","$1,625 ","$1,933 ","$2,218 ","$3,035 ","$3,502 ","$2,301 ","$2,796 ","$3,701 ","$3,838 ","$5,269 "
Norway,Exports,Millions of USD,0--All Merchandise,"$4,421 ","$3,570 ","$3,920 ","$5,451 ","$5,443 ","$3,893 ","$2,774 ","$3,994 ","$4,634 ","$5,022 ","$4,592 "
El Salvador,Exports,Millions of USD,0--All Merchandise,"$3,306 ","$3,249 ","$2,919 ","$3,072 ","$3,391 ","$3,366 ","$2,584 ","$4,131 ","$4,889 ","$4,289 ","$4,556 "
New Zealand,Exports,Millions of USD,0--All Merchandise,"$4,258 ","$3,631 ","$3,575 ","$3,923 ","$4,060 ","$3,947 ","$3,196 ","$3,717 ","$4,167 ","$4,352 ","$4,499 "
Austria,Exports,Millions of USD,0--All Merchandise,"$3,825 ","$4,024 ","$3,796 ","$4,275 ","$3,564 ","$5,709 ","$3,430 ","$3,935 ","$4,770 ","$5,525 ","$4,474 "
Czech Republic,Exports,Millions of USD,0--All Merchandise,"$2,303 ","$1,977 ","$1,966 ","$2,272 ","$3,003 ","$2,791 ","$2,973 ","$3,661 ","$3,801 ","$4,599 ","$4,280 "
Venezuela,Exports,Millions of USD,0--All Merchandise,"$11,178 ","$8,344 ","$5,214 ","$4,127 ","$6,074 ","$1,302 ","$1,130 ","$1,614 ","$2,188 ","$2,494 ","$4,232 "
Nigeria,Exports,Millions of USD,0--All Merchandise,"$5,966 ","$3,431 ","$1,895 ","$2,174 ","$2,686 ","$3,198 ","$2,801 ","$3,890 ","$3,412 ","$2,587 ","$4,174 "
Qatar,Exports,Millions of USD,0--All Merchandise,"$5,173 ","$4,222 ","$4,927 ","$3,124 ","$4,428 ","$6,457 ","$3,410 ","$2,574 ","$3,666 ","$4,655 ","$3,804 "
Hungary,Exports,Millions of USD,0--All Merchandise,"$1,844 ","$1,715 ","$1,845 ","$1,888 ","$1,750 ","$1,915 ","$2,111 ","$2,911 ","$2,872 ","$3,120 ","$3,261 "
