Partner ,Flow,Start Year,State,Unit,Product ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$88,834 ","$83,125 ","$76,691 ","$78,190 ","$84,734 ","$75,607 ","$65,651 ","$90,234 ","$109,246 ","$100,055 ","$91,243 "
Canada,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$17,064 ","$14,913 ","$15,030 ","$15,399 ","$16,809 ","$16,489 ","$17,493 ","$21,751 ","$22,776 ","$21,741 ","$17,435 "
Switzerland,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$8,741 ","$8,316 ","$6,456 ","$5,593 ","$7,747 ","$6,179 ","$6,450 ","$11,610 ","$23,567 ","$13,686 ","$10,090 "
Hong Kong,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$10,790 ","$9,551 ","$7,431 ","$8,862 ","$9,161 ","$6,544 ","$3,936 ","$7,181 ","$6,139 ","$8,325 ","$8,068 "
United Kingdom,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$6,218 ","$5,872 ","$5,542 ","$6,760 ","$6,464 ","$5,314 ","$4,083 ","$3,861 ","$4,850 ","$4,767 ","$5,448 "
Israel,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$6,354 ","$5,355 ","$4,895 ","$4,723 ","$4,909 ","$4,423 ","$2,727 ","$3,587 ","$4,163 ","$4,823 ","$5,199 "
Mexico,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$3,063 ","$3,170 ","$2,978 ","$3,154 ","$3,516 ","$3,136 ","$2,251 ","$2,949 ","$3,217 ","$3,482 ","$3,747 "
Germany,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$2,187 ","$2,170 ","$2,228 ","$2,721 ","$2,966 ","$3,094 ","$3,032 ","$3,588 ","$4,079 ","$4,105 ","$3,710 "
India,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$2,520 ","$2,937 ","$3,509 ","$2,968 ","$3,251 ","$2,552 ","$1,899 ","$3,770 ","$4,948 ","$4,114 ","$3,670 "
Singapore,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,108 ","$1,018 ","$1,192 ","$1,031 ","$1,250 ","$1,072 ",$890 ,"$2,379 ","$3,736 ","$2,307 ","$3,281 "
China,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$4,292 ","$3,743 ","$2,773 ","$3,168 ","$3,441 ","$2,852 ","$2,719 ","$3,616 ","$3,400 ","$3,838 ","$2,967 "
France,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,957 ","$2,027 ","$2,288 ","$2,060 ","$2,583 ","$2,181 ","$1,892 ","$2,063 ","$2,734 ","$2,862 ","$2,860 "
United Arab Emirates,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,921 ","$2,012 ","$1,897 ","$1,960 ","$1,815 ","$1,613 ","$1,455 ","$2,282 ","$2,255 ","$2,805 ","$2,550 "
Belgium,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$4,012 ","$4,473 ","$4,344 ","$3,389 ","$3,768 ","$3,365 ","$2,064 ","$2,450 ","$3,067 ","$2,604 ","$2,335 "
Taiwan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$844 ,"$1,048 ",$637 ,$736 ,$797 ,$898 ,$812 ,"$1,519 ","$1,413 ","$1,433 ","$1,771 "
Japan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,903 ","$2,017 ","$1,905 ","$1,884 ","$1,912 ","$1,811 ","$1,868 ","$2,028 ","$1,660 ","$1,687 ","$1,706 "
Netherlands,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,280 ","$1,156 ","$1,172 ","$1,323 ","$1,307 ","$1,141 ","$1,449 ","$1,554 ","$1,786 ","$1,528 ","$1,433 "
South Korea,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,350 ","$1,426 ","$1,206 ","$1,386 ","$1,187 ","$1,231 ","$1,077 ","$1,646 ","$1,920 ","$1,601 ","$1,419 "
Australia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,127 ",$603 ,$702 ,$688 ,$655 ,$652 ,$812 ,"$1,242 ","$1,355 ","$2,221 ","$1,112 "
Italy,Exports,TRUE,New York,Millions of USD,0--All Merchandise,"$1,025 ","$1,017 ",$908 ,$858 ,$951 ,"$1,073 ",$656 ,$847 ,"$1,120 ","$1,142 ","$1,101 "
Turkey,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$739 ,$583 ,$537 ,$775 ,$896 ,$849 ,$612 ,$567 ,$984 ,$947 ,$820 
Malaysia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$316 ,$300 ,$264 ,$254 ,$314 ,$351 ,$421 ,$473 ,$555 ,$588 ,$815 
Thailand,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$502 ,$521 ,$480 ,$459 ,$584 ,$481 ,$429 ,$905 ,$734 ,$657 ,$812 
Dominican Republic,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$218 ,$274 ,$330 ,$237 ,$330 ,$327 ,$277 ,$394 ,$355 ,$330 ,$537 
Saudi Arabia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$464 ,$517 ,$364 ,$396 ,$259 ,$302 ,$360 ,$402 ,$430 ,$468 ,$516 
Brazil,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$741 ,$624 ,$888 ,$732 ,$773 ,$732 ,$577 ,$547 ,$597 ,$553 ,$503 
Qatar,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$306 ,$236 ,$131 ,$127 ,$125 ,$95 ,$158 ,$200 ,$414 ,$386 ,$381 
Ireland,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$234 ,$201 ,$200 ,$223 ,$266 ,$275 ,$252 ,$241 ,$293 ,$283 ,$339 
Spain,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$366 ,$380 ,$367 ,$232 ,$267 ,$266 ,$213 ,$224 ,$278 ,$306 ,$305 
Poland,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$230 ,$213 ,$248 ,$296 ,$231 ,$208 ,$193 ,$199 ,$303 ,$327 ,$296 
Chile,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$216 ,$199 ,$212 ,$165 ,$190 ,$201 ,$127 ,$166 ,$179 ,$259 ,$232 
Austria,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$141 ,$166 ,$165 ,$163 ,$220 ,$186 ,$150 ,$146 ,$100 ,$130 ,$205 
Oman,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$90 ,$138 ,$81 ,$52 ,$66 ,$59 ,$33 ,$39 ,$88 ,$183 ,$197 
Luxembourg,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$161 ,$157 ,$251 ,$216 ,$176 ,$356 ,$131 ,$117 ,$111 ,$116 ,$189 
Colombia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$185 ,$176 ,$143 ,$118 ,$119 ,$126 ,$105 ,$137 ,$156 ,$131 ,$189 
Vietnam,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$140 ,$140 ,$254 ,$169 ,$207 ,$222 ,$190 ,$291 ,$289 ,$208 ,$181 
Sint Maarten,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$285 ,$264 ,$268 ,$171 ,$237 ,$252 ,$89 ,$79 ,$138 ,$169 ,$178 
Philippines,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$167 ,$181 ,$145 ,$131 ,$141 ,$195 ,$111 ,$131 ,$130 ,$198 ,$171 
Indonesia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$231 ,$194 ,$155 ,$178 ,$189 ,$158 ,$111 ,$127 ,$140 ,$142 ,$165 
Costa Rica,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$81 ,$71 ,$61 ,$63 ,$72 ,$80 ,$65 ,$69 ,$81 ,$115 ,$153 
